"anime_id","name","type","episodes","rating","members"
431,"Howl no Ugoku Shiro","Movie",1,8.74,333186
11741,"Fate/Zero 2nd Season","TV",12,8.73,340973
31757,"Kizumonogatari II: Nekketsu-hen","Movie",1,8.73,34347
19,"Monster","TV",74,8.72,247562
12365,"Bakuman. 3rd Season","TV",25,8.71,133620
1535,"Death Note","TV",37,8.71,1013917
32366,"Gintama°: Aizome Kaori-hen","OVA",2,8.69,16947
30654,"Ansatsu Kyoushitsu (TV) 2nd Season","TV",25,8.68,176475
20583,"Haikyuu!!","TV",25,8.68,284498
19647,"Hajime no Ippo: Rising","TV",25,8.68,66756
4282,"Kara no Kyoukai 5: Mujun Rasen","Movie",1,8.68,111074
10379,"Natsume Yuujinchou San","TV",13,8.67,102322
22135,"Ping Pong The Animation","TV",11,8.67,97187
21329,"Mushishi Special: Hihamukage","Special",1,8.66,49036
31043,"Boku dake ga Inai Machi","TV",12,8.65,402381
7785,"Yojouhan Shinwa Taikei","TV",11,8.65,122531
3297,"Aria The Origination","TV",13,8.64,56162
30709,"Kamisama Hajimemashita: Kako-hen","OVA",4,8.64,33422
6114,"Rainbow: Nisha Rokubou no Shichinin","TV",26,8.64,139474
31240,"Re:Zero kara Hajimeru Isekai Seikatsu","TV",25,8.64,355839
4565,"Tengen Toppa Gurren Lagann Movie: Lagann-hen","Movie",1,8.64,82253
5300,"Zoku Natsume Yuujinchou","TV",13,8.64,114173
9989,"Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.","TV",11,8.62,463835
24415,"Kuroko no Basket 3rd Season","TV",25,8.62,184525
11577,"Steins;Gate Movie: Fuka Ryouiki no Déjà vu","Movie",1,8.61,192424
10408,"Hotarubi no Mori e","Movie",1,8.61,197439
28171,"Shokugeki no Souma","TV",24,8.61,348951
32995,"Yuri!!! on Ice","TV",12,8.61,103178
21899,"Gintama: Yorinuki Gintama-san on Theater 2D","Movie",2,8.6,11104
26055,"JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season","TV",24,8.6,93657
7472,"Gintama Movie: Shinyaku Benizakura-hen","Movie",1,8.59,51185
777,"Hellsing Ultimate","OVA",10,8.59,297454
22535,"Kiseijuu: Sei no Kakuritsu","TV",24,8.59,425457
28735,"Shouwa Genroku Rakugo Shinjuu","TV",13,8.59,71295
12431,"Uchuu Kyoudai","TV",99,8.59,72958
28805,"Bakemono no Ko","Movie",1,8.58,80825
578,"Hotaru no Haka","Movie",1,8.58,174878
16894,"Kuroko no Basket 2nd Season","TV",25,8.58,243325
5028,"Major S5","TV",25,8.58,28653
21,"One Piece","TV",NA,8.58,504862
801,"Ghost in the Shell: Stand Alone Complex 2nd GIG","TV",26,8.57,113993
31933,"JoJo no Kimyou na Bouken: Diamond wa Kudakenai","TV",39,8.57,74074
5205,"Kara no Kyoukai 7: Satsujin Kousatsu (Kou)","Movie",1,8.57,95658
17389,"Kingdom 2nd Season","TV",39,8.57,31234
170,"Slam Dunk","TV",101,8.56,82570
10162,"Usagi Drop","TV",11,8.56,194855
18617,"Girls und Panzer der Film","Movie",1,8.55,25641
32182,"Mob Psycho 100","TV",12,8.55,193716
877,"Nana","TV",47,8.55,197256
2251,"Baccano!","TV",13,8.54,363215
24687,"Mushishi Zoku Shou: Odoro no Michi","Special",1,8.54,34011
16498,"Shingeki no Kyojin","TV",25,8.54,896229
10030,"Bakuman. 2nd Season","TV",25,8.53,151561
5941,"Cross Game","TV",50,8.53,53108
30346,"Doukyuusei (Movie)","Movie",1,8.53,28864
3784,"Evangelion: 2.0 You Can (Not) Advance","Movie",1,8.53,182224
13125,"Shinsekai yori","TV",25,8.53,288376
12029,"Uchuu Senkan Yamato 2199","OVA",26,8.53,44223
14397,"Chihayafuru 2","TV",25,8.52,86074
10087,"Fate/Zero","TV",13,8.51,453630
14719,"JoJo no Kimyou na Bouken (TV)","TV",26,8.51,190197
9756,"Mahou Shoujo Madoka★Magica","TV",12,8.51,462974
10165,"Nichijou","TV",26,8.52,254436
13601,"Psycho-Pass","TV",22,8.5,509109
22789,"Barakamon","TV",12,8.5,225927
30230,"Diamond no Ace: Second Season","TV",51,8.5,38531
18115,"Magi: The Kingdom of Magic","TV",25,8.5,245026
11981,"Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari","Movie",1,8.5,135735
11917,"Major: World Series","OVA",2,8.5,13405
205,"Samurai Champloo","TV",26,8.5,390076
32282,"Shokugeki no Souma: Ni no Sara","TV",13,8.5,185015
6594,"Katanagatari","TV",12,8.49,207241
11979,"Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari","Movie",1,8.49,85361
7655,"Major S6","TV",25,8.49,24788
2246,"Mononoke","TV",12,8.49,88850
25835,"Shirobako","TV",24,8.49,146895
2921,"Ashita no Joe 2","TV",47,8.48,6259
136,"Hunter x Hunter","TV",62,8.48,166255
30503,"Noragami Aragoto","TV",13,8.48,299434
12531,"Sakamichi no Apollon","TV",12,8.48,146592
523,"Tonari no Totoro","Movie",1,8.48,271484
467,"Ghost in the Shell: Stand Alone Complex","TV",26,8.47,194491
572,"Kaze no Tani no Nausicaä","Movie",1,8.47,143273
19815,"No Game No Life","TV",12,8.47,602291
2559,"Romeo no Aoi Sora","TV",33,8.47,15074
392,"Yuu☆Yuu☆Hakusho","TV",112,8.47,195017
486,"Kino no Tabi: The Beautiful World","TV",13,8.46,102822
11771,"Kuroko no Basket","TV",25,8.46,338315
1698,"Nodame Cantabile","TV",23,8.46,157025
5341,"Ookami to Koushinryou II","TV",12,8.46,210491
25781,"Shingeki no Kyojin: Kuinaki Sentaku","OVA",2,8.45,92543
10863,"Steins;Gate: Oukoubakko no Poriomania","Special",1,8.46,159548
28701,"Fate/stay night: Unlimited Blade Works 2nd Season","TV",13,8.45,205987
5420,"Kemono no Souja Erin","TV",50,8.45,36751
9260,"Kizumonogatari I: Tekketsu-hen","Movie",1,8.45,99579
32,"Neon Genesis Evangelion: The End of Evangelion","Movie",1,8.45,215630
4224,"Toradora!","TV",25,8.45,633817
2236,"Toki wo Kakeru Shoujo","Movie",1,8.44,289206
2685,"Tsubasa: Tokyo Revelations","OVA",3,8.44,57963
31181,"Owarimonogatari","TV",12,8.43,107855
45,"Rurouni Kenshin: Meiji Kenkaku Romantan","TV",94,8.43,218928
2418,"Stranger: Mukou Hadan","Movie",1,8.43,125503
1365,"Detective Conan Movie 06: The Phantom of Baker Street","Movie",1,8.42,28462
22297,"Fate/stay night: Unlimited Blade Works","TV",12,8.42,267484
627,"Major S1","TV",26,8.42,41061
10937,"Mobile Suit Gundam: The Origin","OVA",6,8.42,15420
23755,"Nanatsu no Taizai","TV",24,8.42,331627
4081,"Natsume Yuujinchou","TV",13,8.42,210736
4155,"One Piece Film: Strong World","Movie",1,8.42,85020
1889,"Higurashi no Naku Koro ni Kai","TV",24,8.41,218101
137,"Hunter x Hunter OVA","OVA",8,8.41,53168
139,"Hunter x Hunter: Greed Island Final","OVA",14,8.41,55787
23317,"Kuroshitsuji: Book of Murder","OVA",2,8.41,67261
558,"Major S2","TV",26,8.41,30689
5040,"One Outs","TV",25,8.41,83056
57,"Beck","TV",26,8.4,148328
33,"Berserk","TV",25,8.4,226430
5,"Cowboy Bebop: Tengoku no Tobira","Movie",1,8.4,137636
1842,"Major S3","TV",26,8.4,29528
6336,"Mobile Suit Gundam Unicorn","OVA",7,8.4,42076
20651,"Natsume Yuujinchou: Itsuka Yuki no Hi ni","OVA",1,8.4,28302
1210,"NHK ni Youkoso!","TV",24,8.4,291228
338,"Rose of Versailles","TV",40,8.4,32188
13759,"Sakurasou no Pet na Kanojo","TV",24,8.4,380375
6547,"Angel Beats!","TV",13,8.39,717796
5081,"Bakemonogatari","TV",15,8.39,482268
32867,"Bungou Stray Dogs 2nd Season","TV",12,8.39,83641
264,"Hajime no Ippo: Champion Road","Special",1,8.39,47840
12859,"One Piece Film: Z","Movie",1,8.39,76051
853,"Ouran Koukou Host Club","TV",26,8.39,422271
5460,"Detective Conan Movie 13: The Raven Chaser","Movie",1,8.38,21798
6746,"Durarara!!","TV",24,8.38,556431
5690,"Nodame Cantabile Finale","TV",11,8.38,67697
329,"Planetes","TV",26,8.38,105044
34240,"Shelter","Music",1,8.38,71136
513,"Tenkuu no Shiro Laputa","Movie",1,8.38,151061
6945,"Gintama: Shiroyasha Koutan","Special",1,8.37,27213
1142,"Hachimitsu to Clover II","TV",12,8.37,61493
6811,"InuYasha: Kanketsu-hen","TV",26,8.37,99128
16664,"Kaguya-hime no Monogatari","Movie",1,8.37,45547
1604,"Katekyo Hitman Reborn!","TV",203,8.37,258103
22145,"Kuroshitsuji: Book of Circus","TV",10,8.37,122895
2966,"Ookami to Koushinryou","TV",13,8.37,334932
31964,"Boku no Hero Academia","TV",13,8.36,282002
19363,"Gin no Saji 2nd Season","TV",11,8.36,67032
18195,"Little Busters!: Refrain","TV",13,8.36,71820
9890,"Major: Message","OVA",1,8.36,12282
9130,"Saint Seiya: The Lost Canvas - Meiou Shinwa 2","OVA",13,8.36,27532
9863,"SKET Dance","TV",77,8.36,101027
7674,"Bakuman.","TV",25,8.35,246899
11843,"Danshi Koukousei no Nichijou","TV",12,8.35,258914
16782,"Kotonoha no Niwa","Movie",1,8.35,189741
28675,"Kyoukai no Kanata Movie: I&#039;ll Be Here - Mirai-hen","Movie",1,8.35,59815
3226,"Major S4","TV",26,8.35,28002
21557,"Omoide no Marnie","Movie",1,8.35,53590
31715,"Working!!!: Lord of the Takanashi","Special",1,8.34,31856
43,"Ghost in the Shell","Movie",1,8.34,223036
9617,"K-On! Movie","Movie",1,8.34,115252
31051,"Kuroko no Basket: Saikou no Present Desu","Special",1,8.34,22900
10153,"Mahou Shoujo Lyrical Nanoha: The Movie 2nd A&#039;s","Movie",1,8.34,13315
1033,"Sennen Joyuu","Movie",1,8.34,58492
32188,"Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero","Special",1,8.34,38147
3091,"xxxHOLiC Kei","TV",13,8.34,74941
12115,"Berserk: Ougon Jidai-hen III - Kourin","Movie",1,8.33,65594
28223,"Death Parade","TV",12,8.33,383914
121,"Fullmetal Alchemist","TV",51,8.33,600384
3002,"Gyakkyou Burai Kaiji: Ultimate Survivor","TV",26,8.33,98996
138,"Hunter x Hunter: Greed Island","OVA",8,8.33,57029
6675,"Redline","Movie",1,8.33,109392
10800,"Chihayafuru","TV",25,8.32,158561
32005,"Detective Conan Movie 20: The Darkest Nightmare","Movie",1,8.32,6229
813,"Dragon Ball Z","TV",291,8.32,375662
27821,"Fate/stay night: Unlimited Blade Works - Prologue","Special",1,8.32,106382
28725,"Kokoro ga Sakebitagatterunda.","Movie",1,8.32,59652
585,"Mimi wo Sumaseba","Movie",1,8.32,94435
16067,"Nagi no Asukara","TV",26,8.32,224947
30,"Neon Genesis Evangelion","TV",26,8.32,461946
31490,"One Piece Film: Gold","Movie",1,8.32,18642
759,"Tokyo Godfathers","Movie",1,8.32,89424
6,"Trigun","TV",26,8.32,283069
6864,"xxxHOLiC Rou","OVA",2,8.32,36353
9735,"Gintama: Shinyaku Benizakura-hen","Special",1,8.31,14002
11977,"Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari","Movie",1,8.31,88164
11123,"Sekaiichi Hatsukoi 2","TV",12,8.31,69253
23847,"Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku","TV",13,8.31,222994
33161,"Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku OVA","OVA",1,8.31,35120
962,"Aria The Natural","TV",26,8.3,39596
1519,"Black Lagoon: The Second Barrage","TV",12,8.3,203233
2167,"Clannad","TV",23,8.3,566690
16706,"Kami nomi zo Shiru Sekai: Megami-hen","TV",12,8.3,142612
5681,"Summer Wars","Movie",1,8.3,223359
3901,"Baccano! Specials","Special",3,8.29,100412
6467,"Detective Conan Movie 14: The Lost Ship in the Sky","Movie",1,8.29,20602
10271,"Gyakkyou Burai Kaiji: Hakairoku-hen","TV",26,8.29,55566
22507,"Initial D Final Stage","TV",4,8.29,19702
3701,"Kaiba","TV",12,8.29,56927
19123,"One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari","Special",1,8.29,17247
33255,"Saiki Kusuo no Ψ-nan (TV)","TV",120,8.29,47092
372,"Cardcaptor Sakura Movie 2: Fuuin Sareta Card","Movie",1,8.28,60637
265,"Hajime no Ippo: Mashiba vs. Kimura","OVA",1,8.28,40623
25681,"Kamisama Hajimemashita◎","TV",12,8.28,91796
4722,"Skip Beat!","TV",25,8.28,134818
24277,"Yowamushi Pedal: Grande Road","TV",24,8.28,50778
239,"Gankutsuou","TV",24,8.27,103828
512,"Majo no Takkyuubin","Movie",1,8.27,152331
4477,"Nodame Cantabile: Paris-hen","TV",11,8.27,70822
15323,"One Piece: Episode of Nami - Koukaishi no Namida to Nakama no Kizuna","Special",1,8.27,24707
31174,"Osomatsu-san","TV",25,8.27,60988
23327,"Space☆Dandy 2nd Season","TV",13,8.27,60918
5365,"Tsumiki no Ie","Movie",1,8.27,45189
3702,"Detroit Metal City","OVA",12,8.26,104893
3167,"Eve no Jikan","ONA",6,8.26,99074
7465,"Eve no Jikan (Movie)","Movie",1,8.26,66376
7054,"Kaichou wa Maid-sama!","TV",26,8.26,391628
1257,"Saint Seiya: Meiou Hades Juuni Kyuu-hen","OVA",13,8.26,23701
23283,"Zankyou no Terror","TV",11,8.26,342893
2025,"Darker than Black: Kuro no Keiyakusha","TV",25,8.25,440334
235,"Detective Conan","TV",NA,8.25,114702
1364,"Detective Conan Movie 05: Countdown to Heaven","Movie",1,8.25,25432
18689,"Diamond no Ace","TV",75,8.25,81384
22043,"Fairy Tail (2014)","TV",102,8.25,255076
31988,"Hibike! Euphonium 2","TV",13,8.25,47716
20899,"JoJo no Kimyou na Bouken: Stardust Crusaders","TV",24,8.25,120089
1453,"Maison Ikkoku","TV",96,8.25,22079
23623,"Non Non Biyori Repeat","TV",12,8.26,64230
1559,"Shijou Saikyou no Deshi Kenichi","TV",50,8.25,129112
1382,"Yuusha-Ou GaoGaiGar Final","OVA",8,8.25,5001
23289,"Gekkan Shoujo Nozaki-kun","TV",12,8.24,292622
18,"Initial D Fourth Stage","TV",24,8.24,41584
4814,"Junjou Romantica 2","TV",12,8.24,87617
16662,"Kaze Tachinu","Movie",1,8.24,75359
12031,"Kingdom","TV",38,8.24,54211
8129,"Kuragehime","TV",11,8.24,108053
14513,"Magi: The Labyrinth of Magic","TV",25,8.24,317513
2581,"Mobile Suit Gundam 00","TV",25,8.24,120351
30015,"ReLIFE","TV",13,8.24,202249
6171,"Saint Seiya: The Lost Canvas - Meiou Shinwa","OVA",13,8.24,40355
1827,"Seirei no Moribito","TV",26,8.24,106888
25013,"Akatsuki no Yona","TV",24,8.23,216674
1367,"Detective Conan Movie 08: Magician of the Silver Sky","Movie",1,8.23,23130
27833,"Durarara!!x2 Ketsu","TV",12,8.23,115295
26213,"Free!: Eternal Summer Special","Special",1,8.23,36091
1974,"Glass no Kamen (2005)","TV",51,8.23,17038
8425,"Gosick","TV",24,8.23,232113
12069,"Hajime no Ippo: Boxer no Kobushi","Special",1,8.23,20157
185,"Initial D First Stage","TV",26,8.23,68128
18679,"Kill la Kill","TV",24,8.23,508118
2034,"Lovely★Complex","TV",24,8.23,235003
437,"Perfect Blue","Movie",1,8.23,117565
721,"Princess Tutu","TV",38,8.23,73218
12477,"Sakasama no Patema","Movie",1,8.23,89749
4938,"Tsubasa: Shunraiki","OVA",2,8.23,40420
2402,"Ashita no Joe","TV",79,8.22,15442
6702,"Fairy Tail","TV",175,8.22,584590
1566,"Ghost in the Shell: Stand Alone Complex - Solid State Society","Special",1,8.22,55247
31741,"Magi: Sinbad no Bouken (TV)","TV",13,8.22,73480
440,"Shoujo Kakumei Utena","TV",39,8.22,77464
4107,"Tengen Toppa Gurren Lagann Movie: Gurren-hen","Movie",1,8.22,72933
1506,"Detective Conan Movie 10: Requiem of the Detectives","Movie",1,8.21,21789
2759,"Evangelion: 1.0 You Are (Not) Alone","Movie",1,8.21,194561
72,"Full Metal Panic? Fumoffu","TV",12,8.21,171086
3016,"Ginga Eiyuu Densetsu: Arata Naru Tatakai no Overture","Movie",1,8.21,11808
3783,"Kara no Kyoukai 3: Tsuukaku Zanryuu","Movie",1,8.21,108720
3927,"Mobile Suit Gundam 00 Second Season","TV",25,8.21,86972
11597,"Nisemonogatari","TV",11,8.21,260062
28025,"Tsukimonogatari","TV",4,8.21,111009
24833,"Ansatsu Kyoushitsu (TV)","TV",22,8.2,312654
29893,"Aria The Avvenire","Special",3,8.2,9500
27663,"Baby Steps 2nd Season","TV",25,8.2,36251
1482,"D.Gray-man","TV",103,8.2,334399
3371,"Ginga Eiyuu Densetsu Gaiden: Senoku no Hoshi, Senoku no Hikari","OVA",24,8.2,8621
25313,"Gintama: Jump Festa 2014 Special","Special",1,8.2,13764
1430,"Lupin III: Cagliostro no Shiro","Movie",1,8.2,32732
33051,"Mobile Suit Gundam: Iron-Blooded Orphans 2nd Season","TV",25,8.2,21210
7720,"Ookiku Furikabutte: Natsu no Taikai-hen","TV",13,8.2,22190
1914,"Saiunkoku Monogatari 2nd Season","TV",39,8.2,23160
20371,"Sekaiichi Hatsukoi Movie: Yokozawa Takafumi no Baai","Movie",1,8.2,23045
15039,"Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. Movie","Movie",1,8.19,95241
2164,"Dennou Coil","TV",26,8.19,76860
237,"Eureka Seven","TV",50,8.19,239570
2449,"Ghost in the Shell: Stand Alone Complex - The Laughing Man","Special",1,8.19,21435
10643,"Gintama: Dai Hanseikai","Special",1,8.19,14728
17739,"Hidamari Sketch: Sae Hiro Sotsugyou-hen","OVA",2,8.19,5959
135,"Hikaru no Go","TV",75,8.19,69000
6045,"Kimi ni Todoke","TV",25,8.19,309339
16001,"Kokoro Connect: Michi Random","Special",4,8.19,106989
6211,"Tokyo Magnitude 8.0","TV",11,8.19,121349
232,"Cardcaptor Sakura","TV",70,8.18,181249
4789,"ef: A Tale of Melodies.","TV",12,8.18,103657
16918,"Gin no Saji","TV",11,8.18,116261
16,"Hachimitsu to Clover","TV",24,8.18,130646
1486,"Kodomo no Omocha (TV)","TV",102,8.18,27893
24997,"Love Live! The School Idol Movie","Movie",1,8.18,38118
32902,"Mahoutsukai no Yome: Hoshi Matsu Hito","OVA",3,8.18,43372
8063,"Sekaiichi Hatsukoi OVA","OVA",2,8.18,35225
25879,"Working!!!","TV",13,8.18,80763
889,"Black Lagoon","TV",12,8.17,332562
21419,"Detective Conan Movie 18: The Sniper from Another Dimension","Movie",1,8.17,12151
2952,"Final Fantasy VII: Advent Children Complete","OVA",1,8.17,77111
934,"Higurashi no Naku Koro ni","TV",26,8.17,359494
12189,"Hyouka","TV",22,8.17,372246
731,"Interstella5555: The 5tory of The 5ecret 5tar 5ystem","Music",1,8.17,31464
1530,"Kanon (2006)","TV",24,8.17,163171
9656,"Kimi ni Todoke 2nd Season","TV",12,8.17,171866
20507,"Noragami","TV",12,8.17,515378
31149,"Persona 3 the Movie 4: Winter of Rebirth","Movie",1,8.17,13359
4918,"xxxHOLiC Shunmuki","OVA",2,8.17,40401
14075,"Zetsuen no Tempest","TV",24,8.17,259900
4772,"Aria The Origination: Sono Choppiri Himitsu no Basho ni...","Special",1,8.16,11961
781,"Detective Conan Movie 03: The Last Wizard of the Century","Movie",1,8.16,26799
1363,"Detective Conan Movie 04: Captured in Her Eyes","Movie",1,8.16,25461
223,"Dragon Ball","TV",153,8.16,316102
2004,"Hanada Shounen-shi","TV",25,8.16,6321
25649,"Junjou Romantica 3","TV",12,8.16,39866
153,"Juuni Kokuki","TV",45,8.16,66646
5029,"Major Movie: Yuujou no Winning Shot","Movie",1,8.16,9943
302,"Mirai Shounen Conan","TV",26,8.16,15557
8740,"One Piece Film: Strong World Episode 0","OVA",1,8.16,33862
5682,"Phantom: Requiem for the Phantom","TV",26,8.16,159105
21647,"Tamako Love Story","Movie",1,8.16,72708
16049,"Toaru Kagaku no Railgun S","TV",24,8.16,137105
1065,"Touch","TV",101,8.16,12833
18179,"Yowamushi Pedal","TV",38,8.16,91138
47,"Akira","Movie",1,8.15,215897
4901,"Black Lagoon: Roberta&#039;s Blood Trail","OVA",5,8.15,108099
23199,"Durarara!!x2 Shou","TV",12,8.15,189407
32122,"Gintama: Jump Festa 2015 Special","Special",1,8.15,7923
30415,"High☆Speed!: Free! Starting Days","Movie",1,8.15,24310
851,"Kyou kara Ore wa!!","OVA",10,8.15,7954
10049,"Nurarihyon no Mago: Sennen Makyou","TV",24,8.15,75612
1943,"Paprika","Movie",1,8.15,163308
4053,"Prince of Tennis: The National Tournament Finals","OVA",7,8.15,21020
846,"School Rumble Ni Gakki","TV",26,8.15,93095
9926,"Sekaiichi Hatsukoi","TV",12,8.15,94820
31173,"Akagami no Shirayuki-hime 2nd Season","TV",12,8.14,80862
4059,"Clannad: Mou Hitotsu no Sekai, Tomoyo-hen","Special",1,8.14,160423
589,"Ginga Nagareboshi Gin","TV",21,8.14,10575
15059,"Initial D Fifth Stage","TV",14,8.14,26711
7791,"K-On!!","TV",26,8.14,246276
17265,"Log Horizon","TV",25,8.14,387100
20815,"Sekaiichi Hatsukoi: Valentine-hen","Movie",1,8.14,13454
535,"Slayers Next","TV",26,8.14,39832
2563,"Aria The OVA: Arietta","OVA",1,8.13,20629
9963,"Detective Conan Movie 15: Quarter of Silence","Movie",1,8.13,17165
32551,"Digimon Adventure tri. 3: Kokuhaku","Movie",1,8.13,20989
2951,"Gintama: Nanigoto mo Saiyo ga Kanjin nano de Tasho Senobisuru Kurai ga Choudoyoi","Special",1,8.13,29331
2762,"Igano Kabamaru","TV",24,8.13,5063
14713,"Kamisama Hajimemashita","TV",13,8.13,189641
14807,"Kara no Kyoukai: Mirai Fukuin","Movie",1,8.13,41168
81,"Mobile Suit Gundam: The 08th MS Team","OVA",12,8.13,34177
9204,"Omae Umasou da na","Movie",1,8.13,6645
31098,"Ushio to Tora (TV) 2nd Season","TV",13,8.13,43916
1023,"Wolf&#039;s Rain OVA","OVA",4,8.13,37679
33253,"Ajin 2nd Season","TV",13,8.12,51382
24921,"Aoki Hagane no Arpeggio: Ars Nova Cadenza","Movie",1,8.12,12353
1471,"City Hunter 2","TV",63,8.12,8199
27831,"Durarara!!x2 Ten","TV",12,8.12,132506
2924,"ef: A Tale of Memories.","TV",12,8.12,151106
4672,"Ghost in the Shell 2.0","Movie",1,8.12,51789
2448,"Ghost in the Shell: Stand Alone Complex 2nd GIG - Individual Eleven","Special",1,8.12,16614
3907,"Ginga Sengoku Gunyuuden Rai","TV",52,8.12,5308
186,"Initial D Second Stage","TV",13,8.12,45825
10080,"Kami nomi zo Shiru Sekai II","TV",12,8.12,194300
30885,"Noragami Aragoto OVA","OVA",2,8.12,58075
21469,"Stand By Me Doraemon","Movie",1,8.12,5712
9941,"Tiger &amp; Bunny","TV",25,8.12,104075
14813,"Yahari Ore no Seishun Love Comedy wa Machigatteiru.","TV",13,8.12,353876
6421,"Fullmetal Alchemist: Brotherhood Specials","Special",4,8.11,67962
21855,"Hanamonogatari","TV",5,8.11,124886
11739,"Kimi to Boku. 2","TV",13,8.11,44564
2159,"Ookiku Furikabutte","TV",25,8.11,49599
28297,"Ore Monogatari!!","TV",24,8.11,200833
29831,"Tamayura: Sotsugyou Shashin Part 4 - Ashita","Movie",1,8.1,3187
2154,"Tekkon Kinkreet","Movie",1,8.11,46018
6505,"There She Is!!","ONA",5,8.11,13935
861,"xxxHOLiC","TV",24,8.11,150872
1689,"Byousoku 5 Centimeter","Movie",3,8.1,324035
34103,"Danganronpa 3: The End of Kibougamine Gakuen - Kibou-hen","Special",1,8.1,29969
3665,"Ginga Eiyuu Densetsu Gaiden: Rasen Meikyuu","OVA",28,8.1,7712
9996,"Hyouge Mono","TV",39,8.1,10649
7711,"Karigurashi no Arrietty","Movie",1,8.1,97910
77,"Mahou Shoujo Lyrical Nanoha A&#039;s","TV",13,8.1,41685
401,"Rurouni Kenshin: Meiji Kenkaku Romantan - Seisou-hen","OVA",2,8.1,49454
32093,"Tanaka-kun wa Itsumo Kedaruge","TV",12,8.1,101335
12113,"Berserk: Ougon Jidai-hen II - Doldrey Kouryaku","Movie",1,8.09,66721
7338,"Darker than Black: Kuro no Keiyakusha Gaiden","Special",4,8.09,136135
32613,"Elsword: El Lady","ONA",12,8.11,3846
3014,"Ginga Eiyuu Densetsu: Waga Yuku wa Hoshi no Taikai","Movie",1,8.09,15069
645,"Hikaru no Go: Journey to the North Star Cup","Special",1,8.09,13901
11135,"Hybrid Child","OVA",4,8.09,26036
5781,"Isekai no Seikishi Monogatari","OVA",13,8.09,72021
13767,"Junjou Romantica OVA","OVA",2,8.09,23192
5678,"Kobato.","TV",24,8.09,88986
6774,"Kuuchuu Buranko","TV",11,8.09,41521
1089,"Macross: Do You Remember Love?","Movie",1,8.09,19240
25161,"One Piece 3D2Y: Ace no shi wo Koete! Luffy Nakama Tono Chikai","Special",1,8.09,30516
995,"Prince of Tennis: The National Tournament","OVA",13,8.09,25170
2752,"Prince of Tennis: The National Tournament Semifinals","OVA",6,8.09,21186
15,"Eyeshield 21","TV",145,8.08,83648
122,"Full Moon wo Sagashite","TV",52,8.08,59374
29095,"Grisaia no Rakuen","TV",10,8.08,111962
1594,"Jigoku Shoujo Futakomori","TV",26,8.08,79816
3092,"Junjou Romantica","TV",12,8.08,117910
10721,"Mawaru Penguindrum","TV",24,8.08,156689
